method,testset,top1_acc,macro_f1,n_samples,total_time_s,time_per_img_ms
baseline,clean,0.9391923990498813,0.9032314414086614,12630,168.94977140426636,13.376862343964083
baseline,lowlight,0.5411718131433095,0.5709725305946965,12630,142.27144813537598,11.264564381264924
baseline,foggy,0.6726840855106888,0.6061854822277849,12630,138.92934203147888,10.99994790431345
baseline,lowcontrast,0.6649247822644497,0.5959683882477589,12630,139.32864093780518,11.031563019620362
baseline,noisy,0.6867775138558987,0.6763422588390506,12630,145.09014105796814,11.48773880110595
baseline,mixed,0.5870942201108472,0.5561157177038878,12630,140.53550386428833,11.12711827904104
va_adaptive,clean,0.9166270783847981,0.8679223887870486,12630,19.21625566482544,1.52147709143511
va_adaptive,lowlight,0.7524148851939826,0.7369135640646142,12630,20.74308705329895,1.6423663541804394
va_adaptive,foggy,0.7302454473475851,0.6707811757153662,12630,20.67696213722229,1.637130810548083
va_adaptive,lowcontrast,0.6509897070467142,0.5866729590254507,12630,21.17993474006653,1.676954452895212
va_adaptive,noisy,0.6735550277117973,0.6678978939133668,12630,20.23402214050293,1.602060343666107
va_adaptive,mixed,0.6347585114806017,0.5999735125779975,12630,20.74177622795105,1.6422625675337332
zero_dce,clean,0.8941409342834521,0.8596433045594006,12630,925.2452070713043,73.25773611015869
zero_dce,lowlight,0.7692794932699921,0.7562902390181542,12630,1387.6179819107056,109.86682358754597
zero_dce,foggy,0.4387173396674584,0.3555806513948852,12630,1093.7054455280304,86.59583891750043
zero_dce,lowcontrast,0.5014251781472684,0.36532061135293187,12630,851.2549290657043,67.39944014772006
zero_dce,noisy,0.6110847189231987,0.6095884114029738,12630,811.0410249233246,64.21544140327194
zero_dce,mixed,0.5155977830562154,0.4928741346161869,12630,783.2947998046875,62.01859064170131
ffa_net,clean,0.9280285035629454,0.8914388705822084,12630,2052.898124933243,162.54141923461938
ffa_net,lowlight,0.5062549485352336,0.5202596322632754,12630,2056.5978167057037,162.83434811604937
ffa_net,foggy,0.9306413301662708,0.8949596283384804,12630,2047.475337266922,162.11206154132398
ffa_net,lowcontrast,0.7959619952494061,0.7646728632569505,12630,2043.7301259040833,161.81552857514515
ffa_net,noisy,0.6130641330166271,0.5963436008939428,12630,2049.648189306259,162.28410049930795
ffa_net,mixed,0.6528107680126682,0.6475310073513129,12630,2088.135129928589,165.3313642065391
