=== Avg-Degraded Accuracy (%) ===
T_low \ T_high,P60,P70,P80
P10,69.03,68.89,68.71
P15,68.64,68.51,68.32
P20,67.81,67.72,67.58

std,0.5014
range,1.4442

=== Detailed ===
T_low,T_high,T1,T2,T3,T4,lowlight,foggy,lowcontrast,noisy,mixed,avg
10,60,0.1108,0.1011,0.0664,0.3561,74.96,72.80,66.21,67.51,63.65,69.03
10,70,0.1108,0.1011,0.0664,0.4139,74.96,72.80,65.58,67.51,63.56,68.89
10,80,0.1108,0.1011,0.0664,0.4774,74.98,72.60,65.00,67.51,63.44,68.71
15,60,0.1332,0.1310,0.0888,0.3561,75.50,72.32,65.53,67.08,62.76,68.64
15,70,0.1332,0.1310,0.0888,0.4139,75.56,72.32,64.94,67.08,62.67,68.51
15,80,0.1332,0.1310,0.0888,0.4774,75.62,72.15,64.20,67.08,62.55,68.32
20,60,0.1678,0.1613,0.1072,0.3561,76.33,71.10,63.39,66.33,61.88,67.81
20,70,0.1678,0.1613,0.1072,0.4139,76.46,71.10,62.91,66.33,61.80,67.72
20,80,0.1678,0.1613,0.1072,0.4774,76.63,71.03,62.28,66.33,61.63,67.58
